Songs,Artists,singer,lyrics,music
Kal Ho Naa Ho [LoFi][Lyrics]-Harrlin Flip,Text Audio Songs,SonuNigam,"TitleTrackShahRukhKhan,SaifAli,PreitySonuNigamKaranJ,#KalHoNaaHolofifullsong,#KalHoNaaHolofimix",ShankarEhsaanLoy
Johnny Johnny with Lyrics - Entertainment,"Akshay Kumar, Tamannaah, Sachin Jigar","Jigar,PriyaPanchal&MadhavKrishna","MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
Malhari Full Video Song,Bajirao Mastani,VishalDadlani,PrashantIngole,SanjayLeelaBhansali
Kyon - Official Video,Barfi,PaponandSunidhiChauhan,NeeleshMisra,Pritam
Tehas Nehas - Khaali Peeli,Ishaan and Ananya,ShekharRavjiani&PrakritiKakar,Kumaar,VishalAndShekhar
Rajvaadi Odhni -  Kalank,"Alia Bhatt, Varun Dhawan, Madhuri and Sonakshi",BabuKhan&KailashKhan,AmitabhBhattacharya,Pritam
Full Video: Akh Lad Jaave,Loveyatri,Badshah,TanishkBagchiAndBadshah,TanishkBagchi
Mere Gully Mein,Gully Boy,"RanveerSingh,DIVINE&Naezy",DIVINE&Naezy,"DIVINE,Naezy&Sezonthebeat"
 Shakira  Full VIDEO Song,Welcome 2 Karachi,SHALMALIKHOLGADE,KAUSARMUNIR,JEETGANNGULI
Goosebump,Kung Fu Yoga,Fazilpuria,ROSSH,ROSSH
Lae Dooba - Lyrical,Aiyaary,SunidhiChauhan,ManojMuntashir,RochakKohli
Teddy Bear - Sakshi Salve s book  The Big Indian Wedding  official song ,Kanika Kapoor & Ikka,KanikaKapoor&IkkaSingh,ShabbirAhmed,KanikaKapoor
â¤ï¸â¤ï¸ Indino Cover,Sagar Mondal,SohamChakraborty,SayeedQuadri,Pritam
Roz Roz Aankhon Tale,Pritam Kumar,AshaBhosle;AmitKumar,Gulzar,R.D.Burman
mera naam tu haathon pe apne likhe baar haan status,whatsapp New status,ShafqatAmanatAli,SayeedQuadri,Pritam
Tune Jo Na Kaha,Cover By Farzan Faaiz,MohitChauhan,SandeepShrivastava,Pritam
Mayya Mayya (Remix),DJ Tejas,"MariamToller,Chinmaye&KirtiSagathia",Gulzar,A.R.Rahman
Iktara,Piano Cover,"KavitaSeth,AmitabhBhattacharya",JavedAkhtar,AmitTrivedi
Janam Janam,Talab Talab,ArijitSingh;AntaraMitra,AmitabhBhattacharya,Pritam
Nadiyon Paar (Let the Music Play) ,Janhvi,"Shamur,RashmeetKaur,IPSingh,Sachin","IPSingh,JigarSaraiya",Sachin
Phir Chala,Jubin Nautiyal,JubinNautiyal,KunaalVermaa,PayalDev
Shayad,Cover By Nish,ArijitSingh,IrshadKamil,Pritam
Saibo - Shor in the city ~ Indian Lofi - Bollywood lofi - @VIBIE MUSIC,daallies,Shreyaghoshal&tochiRaina,Sameeranjaan&Priyapanchal,Sachinjigar
Jeene Laga Hoon Lyrical - Ramaiya Vastavaiya,"Girish Kumar, Shruti Haasan","AtifAslam,ShreyaGhoshal",PriyaPanchal,SachinJigar
Chamma Chamma Full Video - Fraud Saiyaan,"Elli AvrRam, Arshad","NehaKakkar,Romy,Arun&Ikka",Kumaar,AnuMalik
Heeriye Song Video - Race 3,"Salman Khan, Jacqueline",KamaalKhan,Kumaar,MeetBros
Chamma Chamma Official Song - Fraud Saiyaan,"Elli AvrRam, Arshad","NehaKakkar,Romy,Arun&Ikka",Kumaar,AnuMalik
Dil Meri Na Sune Song Video - Genius,"Utkarsh, Ishita",AtifAslam,"Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
Ashiqui Mein Teri 2.0 Official Song - Happy Hardy And Heer,"Himesh Reshammiya, Ranu Mondal","HimeshReshammiya,RanuMondal","Kumaar,ShabbirAhmed,HimeshReshammiya,VishalMishra&AaryanTiwari",HimeshReshammiya
Jadoo Ki Jhappi Lyrical Video - Ramaiya Vastavaiya,Girish Kumar and Shruti,"MikaSingh,NehaKakkar",PriyaPanchal,SachinJigar
Gallan Kardi Lyrical - Jawaani Jaaneman,"Saif Ali Khan, Tabu, Alaya F",JazzyB&JyoticaTangri,PreetHarpal&MumzyStranger,Prem&Hardeep
Dhating Naach - Phata Poster Nikhla Hero ,Shahid & Nargis,NakashAziz&NehaKakkar,AmitabhBhattacharya,Pritam
Tera Fitoor Song Video - Genius,"Utkarsh Sharma, Ishita Chauhan","ArijitSingh,","Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
Aaj Zid - Song Video,Aksar 2,ArijitSingh,SayeedQuadri,Mithoon
Selfish Song Video - Race 3,"Salman Khan, Bobby, Jacqueline",VishalMishra,SalmanKhan,VishalMishra
Zara Zara Touch Me Song,Race,"MonaliThakur,EarlEdgar",Sameer,Pritam
Johnny Johnny - Entertainment,Akshay Kumar and Tamannaah - Official HD Video Song 2014,"Jigar,PriyaPanchal&MadhavKrishna","MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
OLE OLE 2.0 - Jawaani Jaaneman,Saif Ali Khan,Abhijeet,Sameer,DilipSen
Tujhse Kahan Juda Hoon Main Song Video - Genius,"Utkarsh, Ishita","HimeshReshammiya,NeetiMohan,VineetSingh","Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
Full Video: OLE OLE 2.0 - Jawaani Jaaneman,"Saif Ali Khan, Tabu, Alaya F",Abhijeet,Sameer,DilipSen
Party Chale On Song Video - Race 3,Salman Khan,"MikaSingh,IuliaVantur",HardikAcharya,Vicky
Tere Bin Nahin Jeena Mar Jana,Manisha Koirala,LataMangeshkar,AnandBakshi,NusratFatehAliKhan
Holi Biraj Ma Official Song Video - Genius,"Utkarsh, Ishita",JubinNautiyal,"Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
Party On My Mind,Race 2,"YoYoHoneySingh,KK,ShefaliAlvares",PrashantIngole.,Pritam
Heeriye Official Song- Happy Hardy And Heer,"Himesh Reshammiya, Arijit Singh, Shreya Ghoshal","RituRaj,AishwaryaMajmudar,SalmanShaikh&AnuduttShamain","Kumaar,ShabbirAhmed,HimeshReshammiya,VishalMishra&AaryanTiwari",HimeshReshammiya
Peecha Chhute - Lyrical Video,Ramaiya Vastavaiya,MohitChauhan,PriyaPanchal,SachinJigar
Bhangra Paa Le  - Bhangra Paa Le,"Sunny Kaushal, Rukshar Dhillon","SadhanaSargam,Mohd.Aziz,SudeshBhosle","ShlokeLal,SiddhantKaushal,MandyGill,A",RajeshRoshan
Jaana Ve - Video Song,Aksar 2,ArijitSingh,SayeedQuadri,Mithoon
