Songs,Artists,singer,lyrics,music
Rajinimurugan - Chella Kutty Lyric,Sivakarthikeyan,SanthoshHariharan&Deepak,Yugabharathi,D.Imman
Love Sex Aur Dhokha Best Title Track - Nushrat Bharucha,Kailash Kher,KailashKher,DibakarBanerjee,SnehaKhanwalkar
Le Jaa Tu Mujhe Best Lyric Video - F.A.L.T.U,Jackky Bhagnani,AtifAslam,SameerAnjaan,SachinJigar
Dil Kya Kare Sad Best Audio Song - Dil Kya Kare,Ajay Devgan,"AlkaYagnik,KumarSanu",AnandBakshi,"JatinPandit,LalitPandit"
Aana Mere Pyar Ko Full Video - Kabhi Haan Kabhi Naa,"Shah Rukh Khan,Suchitra",AlkaYagnik&KumarSanu,MajroohSultanpuri,JatinLalit
Khamakha Best Video - Matru Ki Bijlee Ka Mandola,Anushka Sharma,VishalBharadwaj&PremDehati,Gulzar,VishalBhardwaj
Oova Oova - Greatest Hits,Anaida,Anaida,ManoharIyer,SantoshNair
Wake Up Sid! Best Title Audio Song - Ranbir Kapoor,Shankar Mahadevan,"ShankarMahadevan,LoyMendonsa",JavedAkhtar,"ShankarMahadevan,EhsaanNoorani,LoyMendonsa"
Bhootni - Full Song - Roohi,"Rajkummar, Janhvi, Varun",MikaSingh,AmitabhBhattacharya,Sachin
Saturday Saturday Lyric Video - Humpty Sharma Ki Dulhania,"Varun, Alia","IndeepBakshi,AkritiKakkar&Badshah","Kumaar,Badshah","SharibToshi,Badshah&Titans"
Govinda Aala Re Best Video - Rangrezz,Jackky Bhagnani,WajidKhan,SameerAnjaan,SajidWajid
3 - KannazhagaVideo,"Dhanush, Shruti",Dhanush&ShrutiHaasan,Dhanush,AnirudhRavichander
A.R. Rahman - Paathshala Be a Rebel Best Audio Song,Rang De Basanti,"Blaaze,NareshIyer,MohammedAslam","Blaaze,PrasoonJoshi",A.R.Rahman
"Saawariya Reprise Best Audio Song - Ranbir Kapoor,Sonam Kapoor",Shail Hada,ShailHada,Sameer,MontySharma
Aa Re Pritam Pyaare Full Video - Rowdy Rathore,Akshay Kumar,MamtaSharma&SaroshSami,SameerAnjaan,SajidWajid
"Tum Mile (Love Reprise) Best Lyric - Emraan Hashmi,Soha Ali Khan",Pritam,NeerajShridhar,SayeedQuadri,Pritam
Thangamagan - Enna Solla Video,Anirudh Ravichander,ShwetaMohan,Dhanush,AnirudhRavichander
Bandeya song with lyrics,Dil Juunglee movie,ArijitSingh,Dr.DevendraKafir,Shaarib&Toshi
3 - Po Nee Po Video,"Dhanush, Shruti",MohitChauhan&Anirudh,Dhanush,AnirudhRavichander
Maahi - DJ Lemon 2021,Raaz 2,ToshiShabri,SayeedQuadri,Sharib
Nannbenda - Oorellaam Unnai Kandu Video,"Udhayanidhi Stalin, Nayanthara",P.Unnikrishnan&BombayJayashri,Vairamuthu,HarrisJayaraj
Maharudra Avatar - Full Song Audio,Kaiwari Hanuman,RavindraSathe,Traditional,Traditional
#shorts Love Song video status,Hawayein â¤â¤,JabHarryMetSejalMusicDirector,JabHarryMetSejalMusicDirector,JabHarryMetSejalMusicDirector
My Voice Without Background Music,Khairiyat,ArijitSingh,JavedAkhtar,Pritam
"Ajab Gazabb Love Title Song Lyric Video - Jackky Bhagnani,Nidhi",Mika Singh,MikaSingh,PriyaPanchal,SachinJigar
Yeh Junoon Full Video - Shootout At Wadala,"Kangna Ranaut, John Abraham",MustafaZahid,Kumaar,MustafaZahid
Kaatru Veliyidai - Azhagiye Video,A. R. Rahman,"SidSriram,BawaSahni,KeerthiSagathia",Karky,ARRahman
3 - Idhazhin Oram Video,"Dhanush, Shruti",AjeshAshok&Anirudh,AishwaryaRDhanush,AnirudhRavichander
Ektarfa -  Official Trailer,Love Story,ArijitSingh,RashmiVirag,JeetGanguli
Bheegh Loon - Khamoshiyan,Lyric Video,PrakritiKakar,AbhendraKumarUpadhyay,AnkitTiwari
I Can t Hold It Best Video - LSD,Nushrat Bharucha,SnehaKhanwalkar,DibakarBanerjee&KanuBehl,SnehaKhanwalkar
Vinnaithaandi Varuvaayaa - Anbil Avan Video,A.R. Rahman,DevanEkambaram&Chinmayi,Thamarai,A.R.Rahman
Dil Ki Purani Sadak â€“ Sadak 2,KK,KK,VijayVijawatt,SamidhMukherjee&Urvi
Mann Mohana,Covered by Rajrupa Ghosh,BelaShende,JavedAkhtar,A.R.Rahman
MR. X - Tu Jo Hain,Feat Jai Kumar Nair,AnkitTiwari,MohnishRaza,AnkitTiwari
Radha,Octapad Cover,"ShreyaGhoshal,UditNarayan,VishalDadlani&ShekharRavjiani",AnvitaDutt,Vishal&Shekhar
Bole Chudiyan,Dance,"AmitKumar,SonuNigam,AlkaYagnik,UditNarayan&KavitaKrishnamurthy",SameerAnjaan,Jatin
Tujhko Jo Paya - Crook,"Emraan Hashmi,Neha","NikhilDsouza,KK,MohitChauhan",Kumaar,PritamChakraborty
â˜†BJ Songsâ˜†Chikni Chameli (Official Audio) Agneepath,Katrina Kaif - Hrithik Roshan,Â ShreyaGhoshal,Â AmitabhBhattacharya,"Â AjayGogavale,AtulGogavale"
Nadiyon Paar - Full Song - Roohi,Janhvi Kapoor,Shamur,"EmanueleMarascia,AlessandroMurru",Sachin
Panghat - Full Song - RoohiRajkummar-Janhvi-Varun,Sachin-Jigar,"AseesKaur,DivyaKumar,Sachin",AmitabhBhattacharya,Sachin
Behke Behke Best Video - Aisha,Sonam Kapoor,"AnushkaManchanda,SamratKaushal&RamanMahadevan",JavedAkhtar,AmitTrivedi
O Soniya Lyric Video - Ishq Hai Tumse,"Bipasha Basu, Dino Morea",UditNarayan&AlkaYagnik,SameerAnjaan,HimeshRehammiya
Man Kyoon Behka Re Behka Aadhi Raat Ko Lyric - Utsav,Rekha,"LataMangeshkar,AshaBhosle",VasantDev,Laxmikant
Dil Ibaadat Lyric Video - Tum Mile,"Emraan Hashmi,Soha Ali Khan",KK,SayeedQuadri,Pritam
A.R. Rahman - Raanjhanaa Best Video,Sonam Kapoor,JaswinderSingh&ShirazUppal,IrshadKamil,A.R.Rahman
Masha-Allah Full Video - Saawariya,"Ranbir,Sonam Kapoor",KunalGanjawala&ShreyaGhoshal,SameerAnjaan,MontySharma
Baatein Kuch Ankahee Full Video - Life in a Metro,"Kangna Ranaut,Shilpa Shetty",KK,SandeepSrivastava,Pritam
Jab Se Tere Naina Best Lyric - Saawariya,"Ranbir Kapoor,Sonam Kapoor",Shaan,SameerAnjaan,MontySharma
Thode Badmash Lyric Video - Saawariya,"Ranbir,Sonam",ShreyaGhoshal,NusratBadr,SanjayLeelaBhansali
Masha-Allah Best Lyric Video - Saawariya,"Ranbir Kapoor,Sonam Kapoor",KunalGanjawala&ShreyaGhoshal,SameerAnjaan,MontySharma
Bulleya â€“ Ae Dil Hai Mushkil,Karan Johar,"ArjunChandy,Geet,Ashwin&Himanshu",Amitabhbhattacharya,Pritam
Char Baj Gaye Lyric Video - F.A.L.T.U,Jackky Bhagnani,HardKaur,SameerAnjaan,SachinSanghviandJigarSaraiya
